observability_id,parameter,value,baseline_value,repeat_index,scenario_label,parameter_drift,successful_transitions,replay_equivalent,runtime_event_count,final_activation,state_consistency,timestamp,observations
phase_i:1:activation_threshold:0.1,activation_threshold,0.1,0.2,1,repeat_1,0.1,1,True,1,0.4,1.0,2026-07-14T16:31:23.455685+00:00,"['activation_threshold=0.1', 'transition_success=True', 'final_activation=0.4']"
phase_i:1:activation_threshold:0.15,activation_threshold,0.15,0.2,1,repeat_1,0.05000000000000002,1,True,1,0.4,1.0,2026-07-14T16:31:23.455777+00:00,"['activation_threshold=0.15', 'transition_success=True', 'final_activation=0.4']"
phase_i:1:activation_threshold:0.2,activation_threshold,0.2,0.2,1,repeat_1,0.0,1,True,1,0.4,1.0,2026-07-14T16:31:23.455829+00:00,"['activation_threshold=0.2', 'transition_success=True', 'final_activation=0.4']"
phase_i:1:activation_threshold:0.25,activation_threshold,0.25,0.2,1,repeat_1,0.04999999999999999,1,True,1,0.4,1.0,2026-07-14T16:31:23.455873+00:00,"['activation_threshold=0.25', 'transition_success=True', 'final_activation=0.4']"
phase_i:1:activation_threshold:0.3,activation_threshold,0.3,0.2,1,repeat_1,0.09999999999999998,1,True,1,0.4,1.0,2026-07-14T16:31:23.455913+00:00,"['activation_threshold=0.3', 'transition_success=True', 'final_activation=0.4']"
phase_i:1:activation_threshold:0.35,activation_threshold,0.35,0.2,1,repeat_1,0.14999999999999997,1,True,1,0.4,1.0,2026-07-14T16:31:23.455950+00:00,"['activation_threshold=0.35', 'transition_success=True', 'final_activation=0.4']"
phase_i:1:activation_threshold:0.4,activation_threshold,0.4,0.2,1,repeat_1,0.2,1,True,1,0.4,1.0,2026-07-14T16:31:23.455986+00:00,"['activation_threshold=0.4', 'transition_success=True', 'final_activation=0.4']"
phase_i:1:activation_threshold:0.45,activation_threshold,0.45,0.2,1,repeat_1,0.25,1,True,1,0.45,1.0,2026-07-14T16:31:23.456019+00:00,"['activation_threshold=0.45', 'transition_success=True', 'final_activation=0.45']"
phase_i:1:activation_threshold:0.5,activation_threshold,0.5,0.2,1,repeat_1,0.3,1,True,1,0.5,1.0,2026-07-14T16:31:23.456052+00:00,"['activation_threshold=0.5', 'transition_success=True', 'final_activation=0.5']"
phase_i:1:activation_threshold:0.55,activation_threshold,0.55,0.2,1,repeat_1,0.35000000000000003,1,True,1,0.55,1.0,2026-07-14T16:31:23.456085+00:00,"['activation_threshold=0.55', 'transition_success=True', 'final_activation=0.55']"
phase_i:1:activation_threshold:0.6,activation_threshold,0.6,0.2,1,repeat_1,0.39999999999999997,1,True,1,0.6,1.0,2026-07-14T16:31:23.456118+00:00,"['activation_threshold=0.6', 'transition_success=True', 'final_activation=0.6']"
phase_i:1:activation_threshold:0.65,activation_threshold,0.65,0.2,1,repeat_1,0.45,1,True,1,0.65,1.0,2026-07-14T16:31:23.456153+00:00,"['activation_threshold=0.65', 'transition_success=True', 'final_activation=0.65']"
phase_i:1:activation_threshold:0.7,activation_threshold,0.7,0.2,1,repeat_1,0.49999999999999994,1,True,1,0.7,1.0,2026-07-14T16:31:23.456185+00:00,"['activation_threshold=0.7', 'transition_success=True', 'final_activation=0.7']"
phase_i:1:activation_threshold:0.75,activation_threshold,0.75,0.2,1,repeat_1,0.55,1,True,1,0.75,1.0,2026-07-14T16:31:23.456217+00:00,"['activation_threshold=0.75', 'transition_success=True', 'final_activation=0.75']"
