scenario,rank,candidate_label,activation_threshold,recovery_min_evidence,objective_value
O1_balanced,1,a0.9_r1,0.9,1,0.54
O1_balanced,2,a0.1_r1,0.1,1,0.5
O1_balanced,3,a0.7_r1,0.7,1,0.5
O1_balanced,4,a0.9_r2,0.9,2,0.49
O1_balanced,5,a0.3_r1,0.3,1,0.46
O1_balanced,6,a0.5_r1,0.5,1,0.46
O1_balanced,7,a0.1_r2,0.1,2,0.45
O1_balanced,8,a0.7_r2,0.7,2,0.45
O1_balanced,9,a0.3_r2,0.3,2,0.41
O1_balanced,10,a0.5_r2,0.5,2,0.41
O2_quality_priority,1,a0.9_r1,0.9,1,0.68
O2_quality_priority,2,a0.9_r2,0.9,2,0.655
O2_quality_priority,3,a0.7_r1,0.7,1,0.58
O2_quality_priority,4,a0.7_r2,0.7,2,0.555
O2_quality_priority,5,a0.5_r1,0.5,1,0.48
O2_quality_priority,6,a0.1_r1,0.1,1,0.46
O2_quality_priority,7,a0.5_r2,0.5,2,0.455
O2_quality_priority,8,a0.3_r1,0.3,1,0.44
O2_quality_priority,9,a0.1_r2,0.1,2,0.435
O2_quality_priority,10,a0.3_r2,0.3,2,0.415
O3_cost_priority,1,a0.1_r1,0.1,1,0.38
O3_cost_priority,2,a0.3_r1,0.3,1,0.28
O3_cost_priority,3,a0.1_r2,0.1,2,0.255
O3_cost_priority,4,a0.5_r1,0.5,1,0.2
O3_cost_priority,5,a0.3_r2,0.3,2,0.155
O3_cost_priority,6,a0.7_r1,0.7,1,0.14
O3_cost_priority,7,a0.9_r1,0.9,1,0.08
O3_cost_priority,8,a0.5_r2,0.5,2,0.075
O3_cost_priority,9,a0.7_r2,0.7,2,0.015
O3_cost_priority,10,a0.9_r2,0.9,2,-0.045
O4_stability_priority,1,a0.1_r1,0.1,1,0.36
O4_stability_priority,2,a0.9_r1,0.9,1,0.35
O4_stability_priority,3,a0.7_r1,0.7,1,0.33
O4_stability_priority,4,a0.3_r1,0.3,1,0.32
O4_stability_priority,5,a0.1_r2,0.1,2,0.31
O4_stability_priority,6,a0.5_r1,0.5,1,0.31
O4_stability_priority,7,a0.9_r2,0.9,2,0.3
O4_stability_priority,8,a0.7_r2,0.7,2,0.28
O4_stability_priority,9,a0.3_r2,0.3,2,0.27
O4_stability_priority,10,a0.5_r2,0.5,2,0.26
