run_id,axis_name,axis_value,workload_name,objective_name,evidence_backend,recovery_strategy,activation_threshold,recovery_min_evidence,preserve_evidence,archive_relations,relation_depth,mean_semantic_coverage,mean_semantic_drift,mean_fact_accuracy,mean_relation_accuracy,mean_recovery_accuracy,mean_closure_accuracy,mean_path_preservation,mean_neighborhood_completeness,mean_hallucinated_relation_rate,mean_evidence_cost,coverage_delta_vs_baseline,drift_delta_vs_baseline,fact_accuracy_delta_vs_baseline,relation_accuracy_delta_vs_baseline,recovery_accuracy_delta_vs_baseline,closure_accuracy_delta_vs_baseline,path_preservation_delta_vs_baseline,neighborhood_completeness_delta_vs_baseline,hallucinated_relation_rate_delta_vs_baseline,evidence_cost_delta_vs_baseline
sensitivity_baseline,baseline,baseline,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,relation_closure,0.9,1,False,False,1,0.728095,0.098333,0.916667,0.865,0.687917,0.7975,0.7425,0.76,0.02,1.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sensitivity_archive_relations_true,archive_relations,True,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,relation_closure,0.9,1,False,True,1,0.758095,0.077083,0.916667,0.8825,0.717917,0.82,0.755,0.7975,0.0,1.815,0.03,-0.02125,0.0,0.0175,0.03,0.0225,0.0125,0.0375,-0.02,0.12
sensitivity_preserve_evidence_true,preserve_evidence,True,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,relation_closure,0.9,1,True,False,1,0.738095,0.083333,0.921667,0.865,0.707917,0.7975,0.7425,0.76,0.02,1.755,0.01,-0.015,0.005,0.0,0.02,0.0,0.0,0.0,0.0,0.06
sensitivity_relation_depth_0,relation_depth,0,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,relation_closure,0.9,1,False,False,0,0.199643,0.628333,0.463334,0.07,0.214643,0.0075,0.0,0.26,0.02,1.025,-0.528452,0.53,-0.453333,-0.795,-0.473274,-0.79,-0.7425,-0.5,0.0,-0.67
sensitivity_relation_depth_2,relation_depth,2,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,relation_closure,0.9,1,False,False,2,0.839524,0.0,1.0,1.0,0.780417,1.0,1.0,0.86625,0.05,1.855,0.111429,-0.098333,0.083333,0.135,0.0925,0.2025,0.2575,0.10625,0.03,0.16
sensitivity_relation_depth_3,relation_depth,3,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,relation_closure,0.9,1,False,False,3,0.849524,0.005,1.0,1.0,0.790417,1.0,1.0,0.88125,0.07,2.015,0.121429,-0.093333,0.083333,0.135,0.1025,0.2025,0.2575,0.12125,0.05,0.32
sensitivity_activation_threshold_0_1,activation_threshold,0.1,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,relation_closure,0.1,1,False,False,1,0.792095,0.138333,0.920667,0.8785,0.711917,0.81475,0.7515,0.78175,0.06,1.711,0.064,0.04,0.004,0.0135,0.024,0.01725,0.009,0.02175,0.04,0.016
sensitivity_activation_threshold_0_3,activation_threshold,0.3,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,relation_closure,0.3,1,False,False,1,0.776095,0.128333,0.919667,0.877,0.705917,0.81325,0.7505,0.77725,0.05,1.707,0.048,0.03,0.003,0.012,0.018,0.01575,0.008,0.01725,0.03,0.012
sensitivity_activation_threshold_0_5,activation_threshold,0.5,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,relation_closure,0.5,1,False,False,1,0.760095,0.118333,0.918667,0.8755,0.699917,0.8095,0.7485,0.772,0.04,1.703,0.032,0.02,0.002,0.0105,0.012,0.012,0.006,0.012,0.02,0.008
sensitivity_activation_threshold_0_7,activation_threshold,0.7,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,relation_closure,0.7,1,False,False,1,0.744095,0.108333,0.917667,0.871,0.693917,0.8035,0.7455,0.766,0.03,1.699,0.016,0.01,0.001,0.006,0.006,0.006,0.003,0.006,0.01,0.004
