run_id,workload,objective_name,evidence_backend,seed,recommended_activation_threshold,recommended_recovery_min_evidence,recommended_objective_value
stability_run_1,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,11,0.9,1,0.54
stability_run_2,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,23,0.9,1,0.54
stability_run_3,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,37,0.9,1,0.54
stability_run_4,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,41,0.9,1,0.54
stability_run_5,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,53,0.9,1,0.54
stability_run_6,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,67,0.9,1,0.54
stability_run_7,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,71,0.9,1,0.54
stability_run_8,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,83,0.9,1,0.54
stability_run_9,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,97,0.9,1,0.54
stability_run_10,phase_vi_relation_recovery_mvp,governed_reconstruction,relation_closure,101,0.9,1,0.54
