run_id,domain_name,mode,case_id,category,semantic_coverage,semantic_drift,fact_accuracy,relation_accuracy,recovery_accuracy,closure_accuracy,path_preservation,neighborhood_completeness,hallucinated_relation_rate,evidence_cost
code_memory_code_case_1_bug_fix_trace_vector_only,code_memory,vector_only,code_case_1_bug_fix_trace,bug_fix_trace,0.166667,0.666667,0.333333,0.0,0.142857,0.0,0.0,0.5,0.0,1.0
code_memory_code_case_1_bug_fix_trace_relation_expansion,code_memory,relation_expansion,code_case_1_bug_fix_trace,bug_fix_trace,0.833333,0.066667,1.0,1.0,0.625,1.0,1.0,1.0,0.333333,1.2
code_memory_code_case_1_bug_fix_trace_relation_closure,code_memory,relation_closure,code_case_1_bug_fix_trace,bug_fix_trace,0.833333,0.0,1.0,1.0,0.714286,1.0,1.0,1.0,0.0,1.4
code_memory_code_case_2_dependency_change_vector_only,code_memory,vector_only,code_case_2_dependency_change,dependency_change,0.333333,0.533333,0.666667,0.0,0.333333,0.0,0.0,0.5,0.0,1.1
code_memory_code_case_2_dependency_change_relation_expansion,code_memory,relation_expansion,code_case_2_dependency_change,dependency_change,0.833333,0.1,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.32
code_memory_code_case_2_dependency_change_relation_closure,code_memory,relation_closure,code_case_2_dependency_change,dependency_change,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.54
knowledge_reasoning_knowledge_case_1_entity_chain_vector_only,knowledge_reasoning,vector_only,knowledge_case_1_entity_chain,entity_chain,0.166667,0.866667,0.333333,0.0,0.125,0.0,0.0,0.5,1.0,1.0
knowledge_reasoning_knowledge_case_1_entity_chain_relation_expansion,knowledge_reasoning,relation_expansion,knowledge_case_1_entity_chain,entity_chain,0.5,0.433333,0.666667,0.5,0.375,0.25,0.0,0.75,0.5,1.2
knowledge_reasoning_knowledge_case_1_entity_chain_relation_closure,knowledge_reasoning,relation_closure,knowledge_case_1_entity_chain,entity_chain,0.5,0.333333,0.666667,0.5,0.428571,0.25,0.0,0.75,0.0,1.4
knowledge_reasoning_knowledge_case_2_conflicting_source_vector_only,knowledge_reasoning,vector_only,knowledge_case_2_conflicting_source,conflicting_source,0.166667,0.666667,0.333333,0.0,0.142857,0.0,0.0,0.25,0.0,1.2
knowledge_reasoning_knowledge_case_2_conflicting_source_relation_expansion,knowledge_reasoning,relation_expansion,knowledge_case_2_conflicting_source,conflicting_source,0.833333,0.1,1.0,1.0,0.5,0.5,0.0,1.0,0.5,1.44
knowledge_reasoning_knowledge_case_2_conflicting_source_relation_closure,knowledge_reasoning,relation_closure,knowledge_case_2_conflicting_source,conflicting_source,0.833333,0.0,1.0,1.0,0.714286,0.5,0.0,0.75,0.0,1.68
agent_planning_planning_case_1_goal_constraint_chain_vector_only,agent_planning,vector_only,planning_case_1_goal_constraint_chain,goal_constraint_chain,0.166667,0.666667,0.333333,0.0,0.142857,0.0,0.0,0.25,0.0,1.1
agent_planning_planning_case_1_goal_constraint_chain_relation_expansion,agent_planning,relation_expansion,planning_case_1_goal_constraint_chain,goal_constraint_chain,0.5,0.466667,0.666667,0.5,0.3,0.25,0.0,0.75,0.666667,1.32
agent_planning_planning_case_1_goal_constraint_chain_relation_closure,agent_planning,relation_closure,planning_case_1_goal_constraint_chain,goal_constraint_chain,0.5,0.333333,0.666667,0.5,0.428571,0.25,0.0,0.5,0.0,1.54
agent_planning_planning_case_2_long_dependency_vector_only,agent_planning,vector_only,planning_case_2_long_dependency,long_dependency_chain,0.125,0.666667,0.333333,0.0,0.111111,0.0,0.0,0.4,0.0,1.3
agent_planning_planning_case_2_long_dependency_relation_expansion,agent_planning,relation_expansion,planning_case_2_long_dependency,long_dependency_chain,0.75,0.0,1.0,1.0,0.666667,1.0,1.0,0.8,0.0,1.56
agent_planning_planning_case_2_long_dependency_relation_closure,agent_planning,relation_closure,planning_case_2_long_dependency,long_dependency_chain,0.75,0.0,1.0,1.0,0.666667,1.0,1.0,0.8,0.0,1.82
