run_id,backend_name,mode,case_id,category,semantic_coverage,semantic_drift,fact_accuracy,relation_accuracy,recovery_accuracy,closure_accuracy,path_preservation,neighborhood_completeness,hallucinated_relation_rate,evidence_cost
flat_semantic_store_relation_case_1_exact_vector_only,flat_semantic_store,vector_only,relation_case_1_exact,exact_relation_preservation,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.0
flat_semantic_store_relation_case_1_exact_relation_expansion,flat_semantic_store,relation_expansion,relation_case_1_exact,exact_relation_preservation,0.833333,0.066667,1.0,1.0,0.625,1.0,1.0,1.0,0.333333,1.2
flat_semantic_store_relation_case_1_exact_relation_closure,flat_semantic_store,relation_closure,relation_case_1_exact,exact_relation_preservation,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.4
flat_semantic_store_relation_case_2_fact_preserved_relation_missing_vector_only,flat_semantic_store,vector_only,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.1
flat_semantic_store_relation_case_2_fact_preserved_relation_missing_relation_expansion,flat_semantic_store,relation_expansion,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.32
flat_semantic_store_relation_case_2_fact_preserved_relation_missing_relation_closure,flat_semantic_store,relation_closure,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.54
flat_semantic_store_relation_case_3_multi_hop_vector_only,flat_semantic_store,vector_only,relation_case_3_multi_hop,multi_hop_relation,0.428571,0.4,0.666667,0.333333,0.428571,0.166667,0.0,0.5,0.0,1.3
flat_semantic_store_relation_case_3_multi_hop_relation_expansion,flat_semantic_store,relation_expansion,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.05,1.0,1.0,0.666667,1.0,1.0,1.0,0.25,1.56
flat_semantic_store_relation_case_3_multi_hop_relation_closure,flat_semantic_store,relation_closure,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.82
flat_semantic_store_relation_case_4_conflicting_neighbors_vector_only,flat_semantic_store,vector_only,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.142857,0.666667,0.333333,0.0,0.125,0.0,0.0,0.4,0.0,1.5
flat_semantic_store_relation_case_4_conflicting_neighbors_relation_expansion,flat_semantic_store,relation_expansion,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.428571,0.466667,0.666667,0.5,0.272727,0.25,0.0,0.8,0.666667,1.8
flat_semantic_store_relation_case_4_conflicting_neighbors_relation_closure,flat_semantic_store,relation_closure,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.428571,0.333333,0.666667,0.5,0.375,0.25,0.0,0.6,0.0,2.1
graph_semantic_store_relation_case_1_exact_vector_only,graph_semantic_store,vector_only,relation_case_1_exact,exact_relation_preservation,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.06
graph_semantic_store_relation_case_1_exact_relation_expansion,graph_semantic_store,relation_expansion,relation_case_1_exact,exact_relation_preservation,0.833333,0.066667,1.0,1.0,0.625,1.0,1.0,1.0,0.333333,1.272
graph_semantic_store_relation_case_1_exact_relation_closure,graph_semantic_store,relation_closure,relation_case_1_exact,exact_relation_preservation,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.484
graph_semantic_store_relation_case_2_fact_preserved_relation_missing_vector_only,graph_semantic_store,vector_only,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.166
graph_semantic_store_relation_case_2_fact_preserved_relation_missing_relation_expansion,graph_semantic_store,relation_expansion,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.3992
graph_semantic_store_relation_case_2_fact_preserved_relation_missing_relation_closure,graph_semantic_store,relation_closure,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.6324
graph_semantic_store_relation_case_3_multi_hop_vector_only,graph_semantic_store,vector_only,relation_case_3_multi_hop,multi_hop_relation,0.428571,0.4,0.666667,0.333333,0.428571,0.166667,0.0,0.5,0.0,1.378
graph_semantic_store_relation_case_3_multi_hop_relation_expansion,graph_semantic_store,relation_expansion,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.05,1.0,1.0,0.666667,1.0,1.0,1.0,0.25,1.6536
graph_semantic_store_relation_case_3_multi_hop_relation_closure,graph_semantic_store,relation_closure,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.9292
graph_semantic_store_relation_case_4_conflicting_neighbors_vector_only,graph_semantic_store,vector_only,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.142857,0.666667,0.333333,0.0,0.125,0.0,0.0,0.4,0.0,1.59
graph_semantic_store_relation_case_4_conflicting_neighbors_relation_expansion,graph_semantic_store,relation_expansion,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.428571,0.466667,0.666667,0.5,0.272727,0.25,0.0,0.8,0.666667,1.908
graph_semantic_store_relation_case_4_conflicting_neighbors_relation_closure,graph_semantic_store,relation_closure,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.428571,0.333333,0.666667,0.5,0.375,0.25,0.0,0.6,0.0,2.226
vector_overlay_store_relation_case_1_exact_vector_only,vector_overlay_store,vector_only,relation_case_1_exact,exact_relation_preservation,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.08
vector_overlay_store_relation_case_1_exact_relation_expansion,vector_overlay_store,relation_expansion,relation_case_1_exact,exact_relation_preservation,0.833333,0.066667,1.0,1.0,0.625,1.0,1.0,1.0,0.333333,1.296
vector_overlay_store_relation_case_1_exact_relation_closure,vector_overlay_store,relation_closure,relation_case_1_exact,exact_relation_preservation,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.512
vector_overlay_store_relation_case_2_fact_preserved_relation_missing_vector_only,vector_overlay_store,vector_only,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.188
vector_overlay_store_relation_case_2_fact_preserved_relation_missing_relation_expansion,vector_overlay_store,relation_expansion,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.4256
vector_overlay_store_relation_case_2_fact_preserved_relation_missing_relation_closure,vector_overlay_store,relation_closure,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.6632
vector_overlay_store_relation_case_3_multi_hop_vector_only,vector_overlay_store,vector_only,relation_case_3_multi_hop,multi_hop_relation,0.428571,0.4,0.666667,0.333333,0.428571,0.166667,0.0,0.5,0.0,1.404
vector_overlay_store_relation_case_3_multi_hop_relation_expansion,vector_overlay_store,relation_expansion,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.05,1.0,1.0,0.666667,1.0,1.0,1.0,0.25,1.6848
vector_overlay_store_relation_case_3_multi_hop_relation_closure,vector_overlay_store,relation_closure,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.9656
vector_overlay_store_relation_case_4_conflicting_neighbors_vector_only,vector_overlay_store,vector_only,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.142857,0.666667,0.333333,0.0,0.125,0.0,0.0,0.4,0.0,1.62
vector_overlay_store_relation_case_4_conflicting_neighbors_relation_expansion,vector_overlay_store,relation_expansion,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.428571,0.466667,0.666667,0.5,0.272727,0.25,0.0,0.8,0.666667,1.944
