backend,model,cycles,method_bundle,method,mean_drift,mean_task_success,mean_query_success,mean_tokens,mean_latency_seconds,run_dir
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",rag,0.1219,0.9167,1.0,33.67,0.3327,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c3__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",rag_srp,0.5437,0.5667,0.7593,19.44,1.1681,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c3__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",rag_srp_anchor,0.4211,0.8667,0.8519,22.67,1.3012,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c3__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",rag_srp_v2,0.0555,0.9167,1.0,19.33,1.137,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c3__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",raw_prompt,0.3407,0.9167,1.0,91.44,0.2607,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c3__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",srp,0.1095,0.9167,0.963,19.33,0.7848,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c3__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",summarization,0.5319,0.5833,0.8519,25.67,0.2811,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c3__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",rag,0.1219,0.9167,1.0,33.67,0.3325,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c5__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",rag_srp,0.5352,0.5667,0.7111,19.4,1.1195,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c5__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",rag_srp_anchor,0.4049,0.92,0.8444,23.2,1.3763,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c5__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",rag_srp_v2,0.0511,0.9167,1.0,19.33,1.1567,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c5__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",raw_prompt,0.3541,0.9167,1.0,150.27,0.2626,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c5__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",srp,0.1051,0.9167,0.9778,19.33,0.8137,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c5__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",summarization,0.5558,0.5833,0.8667,25.27,0.2745,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c5__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",rag,0.1601,0.9167,1.0,35.24,0.3491,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c7__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",rag_srp,0.5316,0.5667,0.7143,19.38,1.1302,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c7__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",rag_srp_anchor,0.3869,0.9429,0.8413,23.43,1.408,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c7__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",rag_srp_v2,0.0492,0.9167,0.9524,19.33,1.1349,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c7__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",raw_prompt,0.3598,0.9286,1.0,181.1,0.2679,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c7__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",srp,0.1429,0.9167,0.9683,19.33,0.8062,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c7__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp,rag_srp,rag_srp_anchor,rag_srp_v2",summarization,0.5745,0.5833,0.873,24.81,0.2679,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\comparison_all_modes__qwen_qwen3_4b_awq__c3-c5-c7\comparison_all_modes__local__qwen_qwen3-4b-awq__c7__raw_prompt-summarization-rag-srp-rag_srp-rag_srp_anchor-rag_srp_v2
