backend,model,cycles,method_bundle,method,mean_drift,mean_task_success,mean_query_success,mean_tokens,mean_latency_seconds,run_dir
mock,gpt-4o-mini,3,"raw_prompt,summarization,rag,srp",rag,0.7466,0.4,0.4815,29.67,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c3__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,3,"raw_prompt,summarization,rag,srp",raw_prompt,0.4797,0.9167,0.8889,108.11,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c3__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,3,"raw_prompt,summarization,rag,srp",srp,0.8464,0.1667,0.1852,34.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c3__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,3,"raw_prompt,summarization,rag,srp",summarization,0.8398,0.0778,0.2778,22.67,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c3__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,5,"raw_prompt,summarization,rag,srp",rag,0.7466,0.4,0.5111,29.8,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c5__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,5,"raw_prompt,summarization,rag,srp",raw_prompt,0.4797,0.9167,0.7778,168.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c5__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,5,"raw_prompt,summarization,rag,srp",srp,0.8464,0.1667,0.2,34.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c5__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,5,"raw_prompt,summarization,rag,srp",summarization,0.8732,0.0467,0.1889,22.4,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c5__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,5,"summarization,srp",srp,0.8464,0.1667,0.2,34.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_srp_vs_summary__mock__gpt-4o-mini__c5__summarization-srp
mock,gpt-4o-mini,5,"summarization,srp",summarization,0.8732,0.0467,0.1889,22.4,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_srp_vs_summary__mock__gpt-4o-mini__c5__summarization-srp
mock,gpt-4o-mini,7,"raw_prompt,summarization,rag,srp",rag,0.7466,0.4,0.5079,29.86,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c7__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,7,"raw_prompt,summarization,rag,srp",raw_prompt,0.4797,0.9167,0.7103,196.81,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c7__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,7,"raw_prompt,summarization,rag,srp",srp,0.8464,0.1667,0.1587,34.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c7__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,7,"raw_prompt,summarization,rag,srp",summarization,0.8875,0.0333,0.1508,22.29,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c7__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,9,"summarization,srp",srp,0.8464,0.1667,0.1728,34.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_srp_vs_summary__mock__gpt-4o-mini__c9__summarization-srp
mock,gpt-4o-mini,9,"summarization,srp",summarization,0.8954,0.0259,0.1296,22.22,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_srp_vs_summary__mock__gpt-4o-mini__c9__summarization-srp
