backend,model,cycles,method_bundle,method,mean_drift,mean_task_success,mean_query_success,mean_tokens,mean_latency_seconds,run_dir
local,Qwen/Qwen3-4B-AWQ,1,"raw_prompt,summarization,rag,srp",rag,0.7255,0.9167,0.8333,88.67,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_minimal
local,Qwen/Qwen3-4B-AWQ,1,"raw_prompt,summarization,rag,srp",raw_prompt,0.7369,1.0,0.9167,139.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_minimal
local,Qwen/Qwen3-4B-AWQ,1,"raw_prompt,summarization,rag,srp",srp,0.8128,0.75,0.75,108,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_minimal
local,Qwen/Qwen3-4B-AWQ,1,"raw_prompt,summarization,rag,srp",summarization,0.7351,0.9167,0.9167,82.67,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_minimal
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",rag,0.7276,0.9167,0.8889,87.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",rag,0.2125,0.9167,0.7278,35.67,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3_tuned1
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",rag,0.1219,0.9167,0.7833,33.67,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3_tuned2
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",rag,0.1219,0.9167,1.0,33.67,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3_tuned3
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",raw_prompt,0.7953,1.0,0.8389,318.44,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",raw_prompt,0.3715,0.9167,0.6722,94.22,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3_tuned1
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",raw_prompt,0.3407,0.9167,0.7278,91.44,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3_tuned2
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",raw_prompt,0.3407,0.9167,1.0,91.44,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3_tuned3
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",srp,0.8438,0.75,0.7056,106.22,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",srp,0.7249,0.75,0.6944,58.44,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3_tuned1
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",srp,0.6511,0.8778,0.5667,30.78,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3_tuned2
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",srp,0.8061,0.7222,0.7222,24.78,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3_tuned3
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",summarization,0.7591,0.9167,0.8944,83,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",summarization,0.5537,0.5833,0.4722,29.44,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3_tuned1
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",summarization,0.5265,0.5833,0.5778,25.67,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3_tuned2
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",summarization,0.5265,0.5833,0.8889,25.67,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles3_tuned3
local,Qwen/Qwen3-4B-AWQ,5,rag_srp,rag_srp,0.6983,1.0,0.7333,28.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles5_rag_srp
local,Qwen/Qwen3-4B-AWQ,5,rag_srp_anchor,rag_srp_anchor,0.5608,1.0,0.9333,27.87,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles5_rag_srp_anchor
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp",rag,0.1219,0.9167,1.0,33.67,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles5_tuned4
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp",rag,0.1219,0.9167,1.0,33.67,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles5_tuned6
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp",raw_prompt,0.3541,0.9167,1.0,150.27,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles5_tuned4
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp",raw_prompt,0.3541,0.9167,1.0,150.27,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles5_tuned6
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp",srp,0.6474,0.9567,0.8222,25.93,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles5_tuned4
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp",srp,0.4169,0.95,0.7778,27.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles5_tuned6
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp",summarization,0.5558,0.5833,0.8667,25.27,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles5_tuned4
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp",summarization,0.559,0.5833,0.8444,25.27,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles5_tuned6
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp",rag,0.1601,0.9167,1.0,35.24,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles7_tuned4
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp",rag,0.1601,0.9167,1.0,35.24,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles7_tuned6
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp",raw_prompt,0.3598,0.9286,1.0,181.1,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles7_tuned4
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp",raw_prompt,0.3598,0.9286,1.0,181.1,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles7_tuned6
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp",srp,0.6902,0.931,0.8095,27.24,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles7_tuned4
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp",srp,0.4081,0.9167,0.8254,29,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles7_tuned6
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp",summarization,0.5745,0.5833,0.873,24.81,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles7_tuned4
local,Qwen/Qwen3-4B-AWQ,7,"raw_prompt,summarization,rag,srp",summarization,0.5724,0.5833,0.9048,24.81,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\local_cycles7_tuned6
mock,Qwen/Qwen3-4B-AWQ,1,rag_srp,rag_srp,0.8464,0.1667,0.1111,36,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\rag_srp_smoke
mock,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",rag,0.7466,0.4,0.4815,29.67,0.0,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\_latency_smoke_run
mock,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",raw_prompt,0.4797,0.9167,0.8889,108.11,0.0,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\_latency_smoke_run
mock,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",srp,0.8464,0.1667,0.1852,34.33,0.0,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\_latency_smoke_run
mock,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",summarization,0.8398,0.0778,0.2778,22.67,0.0,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\_latency_smoke_run
mock,gpt-4o-mini,1,"raw_prompt,summarization,rag,srp",rag,0.7466,0.4,0.4,29,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results
mock,gpt-4o-mini,1,"raw_prompt,summarization,rag,srp",raw_prompt,0.4797,0.9167,0.9167,47.67,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results
mock,gpt-4o-mini,1,"raw_prompt,summarization,rag,srp",srp,0.9328,0.0667,0.0667,34.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results
mock,gpt-4o-mini,1,"raw_prompt,summarization,rag,srp",summarization,0.6728,0.2333,0.2333,23.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results
mock,gpt-4o-mini,3,"raw_prompt,summarization,rag,srp",rag,0.7466,0.4,0.4815,29.67,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c3__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,3,"raw_prompt,summarization,rag,srp",raw_prompt,0.4797,0.9167,0.8889,108.11,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c3__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,3,"raw_prompt,summarization,rag,srp",srp,0.8464,0.1667,0.1852,34.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c3__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,3,"raw_prompt,summarization,rag,srp",summarization,0.8398,0.0778,0.2778,22.67,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c3__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,5,"raw_prompt,summarization,rag,srp",rag,0.7466,0.4,0.5111,29.8,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c5__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,5,"raw_prompt,summarization,rag,srp",raw_prompt,0.4797,0.9167,0.7778,168.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c5__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,5,"raw_prompt,summarization,rag,srp",srp,0.8464,0.1667,0.2,34.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c5__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,5,"raw_prompt,summarization,rag,srp",summarization,0.8732,0.0467,0.1889,22.4,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c5__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,5,"summarization,srp",srp,0.8464,0.1667,0.2,34.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_srp_vs_summary__mock__gpt-4o-mini__c5__summarization-srp
mock,gpt-4o-mini,5,"summarization,srp",summarization,0.8732,0.0467,0.1889,22.4,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_srp_vs_summary__mock__gpt-4o-mini__c5__summarization-srp
mock,gpt-4o-mini,7,"raw_prompt,summarization,rag,srp",rag,0.7466,0.4,0.5079,29.86,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c7__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,7,"raw_prompt,summarization,rag,srp",raw_prompt,0.4797,0.9167,0.7103,196.81,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c7__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,7,"raw_prompt,summarization,rag,srp",srp,0.8464,0.1667,0.1587,34.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c7__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,7,"raw_prompt,summarization,rag,srp",summarization,0.8875,0.0333,0.1508,22.29,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_core_methods__mock__gpt-4o-mini__c7__raw_prompt-summarization-rag-srp
mock,gpt-4o-mini,9,"summarization,srp",srp,0.8464,0.1667,0.1728,34.33,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_srp_vs_summary__mock__gpt-4o-mini__c9__summarization-srp
mock,gpt-4o-mini,9,"summarization,srp",summarization,0.8954,0.0259,0.1296,22.22,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\mock_srp_vs_summary__mock__gpt-4o-mini__c9__summarization-srp
