method,cycle,n,drift_mean,drift_std,contract_mean,contract_std,commit_rate
rag,1,1,0.0357,0.0,,,
rag,2,1,0.0357,0.0,,,
rag,3,1,0.0357,0.0,,,
rag,4,1,0.0357,0.0,,,
rag,5,1,0.0357,0.0,,,
rag,6,1,0.5714,0.0,,,
rag,7,1,0.303,0.0,,,
raw_prompt,1,1,0.069,0.0,,,
raw_prompt,2,1,0.069,0.0,,,
raw_prompt,3,1,0.1,0.0,,,
raw_prompt,4,1,0.1,0.0,,,
raw_prompt,5,1,0.1,0.0,,,
raw_prompt,6,1,0.1,0.0,,,
raw_prompt,7,1,0.1,0.0,,,
srp,1,1,0.037,0.0,0.81,0.0,1.0
srp,2,1,0.037,0.0,0.81,0.0,1.0
srp,3,1,0.037,0.0,0.81,0.0,1.0
srp,4,1,0.037,0.0,0.81,0.0,1.0
srp,5,1,0.037,0.0,0.81,0.0,1.0
srp,6,1,0.037,0.0,0.81,0.0,1.0
srp,7,1,0.037,0.0,0.81,0.0,1.0
summarization,1,1,0.4118,0.0,,,
summarization,2,1,0.4333,0.0,,,
summarization,3,1,0.6061,0.0,,,
summarization,4,1,0.5938,0.0,,,
summarization,5,1,0.6364,0.0,,,
summarization,6,1,0.5938,0.0,,,
summarization,7,1,0.6364,0.0,,,
